A2: -0.41,4.33,-8.69,276756
A3: 9.64,-0.57,-0.79,278020
A0: -1.89,-1.90,8.25,279288
A1: 5.12,-3.13,7.49,288676
A2: -0.83,4.10,-8.57,297792
A3: 9.80,-0.31,-0.78,307184
A0: -2.03,-1.65,8.03,316560
A1: 4.84,-3.33,7.76,317824
A2: -0.59,4.24,-8.21,319100
A3: 9.73,-0.42,-0.75,320364
A0: -2.10,-1.66,8.21,321620
A1: 4.94,-3.29,7.59,326596
A2: -0.57,4.16,-8.38,327872
A3: 9.77,-0.11,-0.52,329140
A0: -2.14,-2.28,8.49,330392
A1: 5.03,-3.20,7.51,331672
A2: -0.57,3.96,-8.35,332940
A3: 9.85,0.15,-0.55,334208
A0: -2.29,-2.32,8.67,335460
A1: 5.09,-3.27,7.40,336740
A2: -0.63,4.32,-8.40,338008
A3: 9.62,-0.27,-0.27,339276
A0: -2.07,-2.49,8.71,340532
A1: 5.35,-3.12,7.14,341820
A2: -0.89,4.24,-8.59,343084
A3: 9.78,-0.79,-0.25,344348
A0: -2.33,-2.41,9.15,345608
A1: 5.19,-3.16,7.29,346892
A2: -0.91,4.19,-8.50,348164
A3: 9.73,-1.44,-0.79,353236
A0: -2.06,-1.87,9.62,354492
A1: 5.08,-3.30,7.36,355760
A2: -1.13,4.14,-8.49,357036
A3: 9.65,-0.60,-0.46,358300
A0: -1.79,-2.14,9.40,359552
A1: 5.14,-3.26,7.34,360816
A2: -0.95,4.21,-8.53,362092
A3: 9.73,-0.55,-0.51,363356
A0: -1.69,-2.06,9.38,364604
A1: 5.09,-3.27,7.35,365872
A2: -0.85,4.19,-8.56,367152
A3: 9.79,-0.49,-0.79,368428
A0: -1.55,-2.15,9.22,369688
A1: 4.99,-3.28,7.58,370952
A2: -0.85,4.17,-8.56,372240
A3: 9.76,-0.46,-0.75,373512
A0: -1.18,-2.28,9.05,374764
A1: 4.90,-3.35,7.75,376028
A2: -0.84,4.20,-8.53,381140
A3: 9.72,-0.51,-0.62,382404
A0: -0.52,-2.40,8.55,383660
A1: 4.99,-3.32,7.54,384920
A2: -0.83,4.18,-8.47,386192
A3: 9.74,-0.52,-0.70,387460
A0: -1.62,-3.32,8.74,388720
A1: 5.14,-3.27,7.33,389992
A2: -1.00,3.98,-8.57,391256
A3: 9.72,-0.41,-0.46,392536
A0: -1.96,-3.71,8.58,393792
A1: 5.12,-3.19,7.46,395072
A2: -0.83,4.20,-8.57,396348
A3: 9.73,-0.39,-0.78,397608
A0: -2.57,-3.76,9.04,398872
